Review Date,Country of Bean Origin,Cocoa Percent,Rating
2017,Nicaragua,0.7,3.5
2017,Tanzania,0.7,3.5
2017,Vietnam,0.7,3.5
2024,Philippines,0.7,3.0
2013,Bolivia,0.8,3.25
2013,Peru,0.6,3.25
2013,Dominican Republic,0.6,3.0
2013,Bolivia,0.6,3.0
2013,Venezuela,0.6,2.5
2016,Peru,0.6,3.0
2016,Nicaragua,0.6,2.75
2016,Ecuador,0.6,2.75
2016,Bolivia,0.6,2.5
2016,Peru,0.6,2.5
2018,Dominican Republic,0.7,3.0
2007,Venezuela,0.7,3.75
2007,Madagascar,0.7,3.5
2008,Indonesia,0.7,2.75
2009,Venezuela,0.7,3.0
2010,Ecuador,0.7,4.0
2010,Dominican Republic,0.7,3.75
2010,Venezuela,0.7,3.0
2011,Papua New Guinea,0.7,4.0
2023,Venezuela,0.7,3.0
2009,Ghana,0.7,3.0
2009,Ghana,0.85,3.0
2009,Ecuador,0.7,2.75
2009,Ecuador,0.85,2.75
2017,Peru,0.7,3.5
2017,Peru,0.7,3.0
2013,Peru,0.73,3.5
2013,Peru,0.72,3.25
2015,Peru,0.68,3.5
2015,Madagascar,0.66,3.25
2015,Dominican Republic,0.75,3.25
2015,Papua New Guinea,0.63,3.25
2015,Venezuela,0.7,3.25
2015,Belize,0.64,3.0
2006,Blend,0.66,3.75
2007,Venezuela,0.7,3.75
2007,Grenada,0.7,3.5
2007,Trinidad,0.7,3.5
2007,Blend,0.63,3.5
2007,Ecuador,0.7,3.0
2007,Jamaica,0.7,3.0
2012,Peru,0.7,3.75
2018,Blend,0.75,3.5
2018,Madagascar,0.7,3.0
2018,Venezuela,0.7,3.0
2018,Venezuela,0.7,3.0
2019,Blend,0.7,2.75
2010,Brazil,0.6,4.0
2010,Brazil,0.5,3.75
2010,Brazil,0.75,3.75
2010,Brazil,0.85,2.75
2013,Brazil,0.75,3.25
2014,Dominican Republic,0.75,3.0
2016,Bolivia,0.75,3.5
2021,Guatemala,0.75,3.25
2021,Belize,0.75,3.0
2014,Madagascar,0.75,3.0
2014,Venezuela,0.75,3.0
2014,Ecuador,0.75,2.75
2014,Mexico,0.72,2.5
2015,Nicaragua,0.7,4.0
2015,Ecuador,0.7,3.75
2015,Belize,0.7,3.75
2015,Brazil,0.7,3.5
2015,Peru,0.68,3.5
2015,Dominican Republic,0.7,3.5
2015,Ecuador,0.75,3.5
2015,Guatemala,0.7,3.25
2015,Brazil,0.75,2.75
2016,Costa Rica,0.7,4.0
2016,Peru,0.7,4.0
2016,Tanzania,0.7,3.75
2016,Nicaragua,0.7,3.75
2016,Dominican Republic,0.7,3.75
2016,Trinidad,0.7,3.5
2016,Vietnam,0.73,3.5
2016,Guatemala,0.7,3.5
2016,Honduras,0.7,3.5
2016,Ecuador,0.7,3.25
2016,Ecuador,0.7,3.25
2016,Fiji,0.7,3.25
2016,Vietnam,0.73,3.25
2017,Bolivia,0.7,4.0
2017,Haiti,0.7,4.0
2017,India,0.7,3.5
2017,Madagascar,0.7,3.5
2017,Vietnam,0.73,3.5
2017,Peru,0.7,3.5
2018,Colombia,0.7,4.0
2018,Trinidad,0.7,3.0
2019,India,0.7,3.25
2019,India,0.7,3.0
2018,Nicaragua,0.7,3.5
2018,Nicaragua,0.7,3.5
2018,Nicaragua,0.7,3.25
2018,Nicaragua,0.7,3.0
2022,Nicaragua,0.8,3.75
2023,Venezuela,0.72,3.5
2023,Venezuela,0.7,3.5
2024,Venezuela,0.71,3.25
2008,Congo,0.72,3.75
2009,Dominican Republic,0.72,3.25
2009,Madagascar,0.8,3.0
2009,Peru,0.75,3.0
2009,Indonesia,0.72,2.75
2009,Venezuela,0.75,2.5
2009,Brazil,0.72,1.75
2010,Jamaica,0.72,3.75
2010,Indonesia,0.72,3.5
2010,Costa Rica,0.72,3.25
2010,Vietnam,0.72,3.25
2010,Venezuela,1.0,1.75
2011,Haiti,0.72,4.0
2011,Panama,0.72,2.75
2012,Colombia,0.72,3.75
2013,Trinidad,0.72,3.25
2013,Colombia,0.72,2.75
2021,Tanzania,0.72,3.5
2021,India,0.72,3.25
2021,Madagascar,0.72,3.25
2023,Venezuela,0.7,3.0
2023,Nicaragua,0.73,3.0
2023,Peru,0.7,3.0
2024,Peru,0.72,3.0
2007,Ecuador,0.7,3.0
2007,Mexico,0.75,2.5
2009,Philippines,0.77,3.75
2011,Tanzania,0.72,3.75
2011,Honduras,0.7,3.75
2016,Tanzania,0.68,3.75
2019,Solomon Islands,0.7,3.0
2023,France (Reunion),0.7,2.75
2018,Philippines,0.7,3.5
2018,Philippines,0.7,3.0
2018,Philippines,0.7,3.0
2018,Philippines,0.77,2.75
2021,Dominican Republic,0.7,3.0
2021,Colombia,0.7,2.5
2012,Madagascar,0.7,3.0
2012,Brazil,0.7,2.5
2012,Blend,0.7,2.5
2015,Papua New Guinea,0.7,3.5
2015,Blend,0.8,3.25
2018,Brazil,0.7,3.0
2015,Peru,0.7,3.5
2015,Peru,0.7,2.75
2019,Tanzania,0.72,3.25
2019,Uganda,0.82,2.75
2019,Belize,0.72,2.5
2012,Madagascar,0.7,3.75
2012,Mexico,0.7,3.5
2012,Dominican Republic,0.7,3.25
2014,Peru,0.7,4.0
2015,Brazil,0.7,3.5
2017,Costa Rica,0.72,3.5
2017,Trinidad,0.8,3.5
2012,Costa Rica,0.8,2.75
2022,Madagascar,0.7,3.5
2022,Guatemala,0.65,3.25
2016,Brazil,0.7,3.75
2016,Dominican Republic,0.65,3.5
2016,Ecuador,0.65,3.25
2019,Peru,0.7,2.25
2023,Peru,0.7,3.25
2023,India,0.7,3.25
2017,Malaysia,0.72,3.25
2017,Malaysia,0.73,3.0
2016,Brazil,0.8,2.75
2016,Dominican Republic,0.7,2.75
2016,Ecuador,0.7,2.75
2016,Ecuador,0.9,2.75
2010,Ecuador,0.71,3.5
2010,Costa Rica,0.64,2.75
2010,Papua New Guinea,0.64,2.75
2010,Peru,0.64,2.75
2016,Tanzania,0.7,3.5
2016,Dominican Republic,0.7,3.5
2016,Bolivia,0.7,3.25
2024,El Salvador,0.7,3.0
2018,Vietnam,0.75,3.25
2021,Vietnam,0.7,3.75
2022,Vietnam,0.7,2.5
2022,Vietnam,0.75,2.5
2016,Belize,0.83,3.5
2016,Belize,0.78,3.0
2016,Belize,0.83,2.75
2018,Vietnam,0.72,3.0
2018,India,0.72,3.0
2018,Malaysia,0.72,3.0
2011,Indonesia,0.72,4.0
2011,Madagascar,0.72,3.75
2013,Ecuador,0.73,4.0
2013,Cuba,0.74,3.5
2013,Venezuela,0.74,3.5
2013,Venezuela,0.74,3.5
2022,Ecuador,0.73,3.5
2022,Venezuela,0.74,3.0
2012,Blend,0.55,2.75
2010,Indonesia,0.64,3.5
2010,Venezuela,0.72,3.5
2010,Venezuela,0.7,3.25
2010,Venezuela,0.74,3.25
2011,Ecuador,0.72,4.0
2011,Venezuela,0.72,3.5
2011,Madagascar,0.64,3.0
2011,Venezuela,0.88,3.0
2015,Belize,0.86,3.25
2015,Nicaragua,0.76,2.5
2015,Costa Rica,0.76,2.5
2015,Costa Rica,0.78,2.5
2018,Venezuela,0.7,3.5
2018,Venezuela,0.7,3.0
2018,Venezuela,0.7,3.0
2008,Dominican Republic,0.68,3.75
2008,Panama,0.75,3.5
2008,Madagascar,0.71,3.0
2008,Ghana,0.7,3.0
2009,Dominican Republic,0.65,3.5
2009,Madagascar,0.65,3.5
2009,Madagascar,0.75,3.25
2009,Dominican Republic,0.75,3.0
2010,Blend,0.7,3.75
2010,Indonesia,0.75,3.25
2010,Madagascar,0.7,3.0
2010,Venezuela,0.78,3.0
2010,Indonesia,0.65,2.75
2012,Ghana,0.72,3.5
2018,Dominican Republic,0.7,3.25
2018,Haiti,0.7,3.0
2018,Guatemala,0.7,3.0
2023,Belize,0.7,3.0
2008,Nicaragua,0.7,3.0
2008,Dominican Republic,0.7,2.75
2008,Venezuela,0.7,2.75
2021,Dominican Republic,0.7,3.75
2014,Jamaica,0.7,2.75
2021,Colombia,0.72,3.25
2021,Belize,0.72,3.25
2009,Blend,0.72,2.75
2013,Congo,0.82,3.5
2012,Madagascar,0.7,3.75
2012,Guatemala,0.7,3.5
2016,Madagascar,0.82,3.5
2016,Tanzania,0.75,3.5
2016,Dominican Republic,0.75,3.0
2016,Guatemala,0.75,2.75
2017,Belize,0.7,2.75
2019,Malaysia,0.74,3.25
2019,Malaysia,0.72,2.75
2019,Malaysia,0.68,2.5
2006,Venezuela,0.75,4.0
2006,Venezuela,0.75,4.0
2006,Blend,0.75,3.75
2006,Venezuela,0.75,3.75
2006,Madagascar,0.75,3.75
2006,Sri Lanka,0.75,3.0
2006,Blend,1.0,1.5
2007,Ecuador,0.75,2.5
2008,Venezuela,0.75,4.0
2009,Ivory Coast,0.75,3.0
2009,Mexico,0.75,3.0
2009,Mexico,0.75,3.0
2009,Peru,0.75,2.75
2011,Haiti,0.75,4.0
2011,Madagascar,0.75,4.0
2011,Brazil,0.75,3.75
2011,Cuba,0.75,3.5
2011,Peru,0.75,3.5
2011,Peru,0.75,3.5
2011,Brazil,0.75,3.5
2011,Jamaica,0.75,3.25
2013,Brazil,0.75,3.5
2013,Gabon,0.75,3.25
2014,Brazil,0.75,4.0
2014,Blend,0.65,3.75
2014,Dominican Republic,0.75,3.25
2016,Mexico,0.75,3.5
2018,Peru,0.75,4.0
2018,Blend,0.75,4.0
2021,Nicaragua,0.75,3.75
2022,Philippines,0.75,3.5
2023,Uganda,0.75,3.25
2023,Mexico,0.75,2.75
2009,Ecuador,0.77,3.25
2009,Ecuador,1.0,1.5
2014,Belize,0.7,2.75
2014,Dominican Republic,0.7,2.75
2018,Bolivia,0.7,4.0
2018,Peru,0.7,3.75
2018,Ecuador,0.75,3.5
2021,Tanzania,0.62,3.0
2013,Ghana,0.75,3.5
2013,Venezuela,0.85,3.5
2013,Ecuador,0.7,3.25
2013,Dominican Republic,0.72,3.0
2014,Venezuela,0.7,4.0
2014,Belize,0.7,3.75
2015,Dominican Republic,0.68,3.75
2016,Nicaragua,0.7,3.75
2016,Venezuela,0.7,3.5
2017,Ecuador,0.75,3.75
2017,Dominican Republic,0.7,3.25
2015,Guatemala,0.7,3.5
2015,Dominican Republic,0.8,3.25
2015,Belize,0.8,3.25
2015,Madagascar,0.6,3.25
2015,Dominican Republic,0.6,3.0
2015,Madagascar,0.8,2.75
2013,Jamaica,0.7,3.0
2014,Dominican Republic,0.7,3.5
2014,Ecuador,0.72,3.5
2014,Madagascar,0.72,3.0
2014,Trinidad,0.68,2.75
2015,Ecuador,0.7,3.25
2013,Dominican Republic,0.68,2.75
2018,Guatemala,0.7,3.0
2018,Bolivia,0.7,2.5
2014,Ecuador,0.72,3.5
2014,Trinidad,0.72,3.25
2014,Belize,0.72,3.25
2014,Blend,0.72,3.25
2014,Ecuador,0.6,2.5
2022,Bolivia,0.72,3.0
2019,Ecuador,0.7,3.0
2019,Philippines,0.7,3.5
2019,Taiwan,0.7,3.25
2019,Bolivia,0.7,3.75
2019,Guatemala,0.7,3.5
2019,Guatemala,0.7,3.0
2015,Puerto Rico,0.7,2.5
2010,Dominican Republic,0.75,2.75
2010,Dominican Republic,0.75,2.5
2010,Venezuela,0.75,2.25
2014,Peru,0.75,2.5
2007,Mexico,0.66,3.0
2007,Venezuela,0.72,2.0
2008,Tanzania,0.75,2.0
2010,Dominican Republic,0.7,3.0
2016,Haiti,0.65,3.5
2018,Colombia,0.72,3.75
2018,Colombia,0.72,3.0
2018,Colombia,0.72,2.5
2014,Venezuela,0.7,3.75
2014,Venezuela,0.75,3.5
2014,Venezuela,0.74,3.25
2014,Venezuela,0.75,2.5
2015,Venezuela,0.77,3.5
2015,Venezuela,0.74,3.25
2015,Venezuela,0.75,3.25
2018,Venezuela,0.75,2.75
2019,Venezuela,0.7,3.0
2019,Venezuela,0.75,2.5
2018,Venezuela,0.7,3.0
2014,Colombia,0.64,3.5
2014,Colombia,0.7,3.5
2014,Colombia,0.7,3.25
2014,Colombia,0.69,2.75
2015,Colombia,0.72,3.75
2016,Colombia,0.71,3.75
2016,Colombia,0.74,3.75
2016,Honduras,0.7,3.5
2011,Dominican Republic,0.66,3.75
2011,Dominican Republic,0.65,3.25
2011,Dominican Republic,0.72,3.0
2012,Dominican Republic,0.72,3.75
2009,Mexico,0.7,4.0
2009,Mexico,0.7,4.0
2010,Papua New Guinea,0.71,4.0
2010,Ecuador,0.71,3.75
2010,Madagascar,0.71,3.5
2010,Venezuela,0.71,3.5
2010,Venezuela,0.77,3.5
2010,Grenada,0.71,3.25
2016,Congo,0.7,3.5
2020,Ecuador,0.72,3.0
2020,Dominican Republic,0.72,2.75
2020,Peru,0.72,2.75
2015,Vietnam,0.7,3.5
2015,Peru,0.7,3.25
2015,Madagascar,0.7,3.0
2024,Mexico,0.7,3.25
2024,Venezuela,0.7,3.25
2018,Ecuador,0.7,3.5
2018,Dominican Republic,0.7,3.25
2018,Ghana,0.7,3.0
2021,Peru,0.7,4.0
2021,Peru,0.7,3.5
2021,Peru,0.7,3.5
2021,Peru,0.8,3.5
2008,Ecuador,0.63,3.5
2008,Ecuador,0.71,3.5
2008,Ecuador,0.82,2.5
2008,Ecuador,0.91,1.5
2007,Ecuador,0.7,1.0
2008,Grenada,0.6,2.75
2011,Trinidad,0.7,2.5
2011,Sao Tome,0.78,2.25
2012,Venezuela,0.8,3.0
2013,Ecuador,1.0,3.5
2014,Blend,0.7,3.5
2014,Dominican Republic,0.72,3.0
2014,Cuba,0.75,2.5
2016,Brazil,0.7,3.25
2016,Venezuela,0.7,3.0
2016,Bolivia,0.75,3.0
2016,Tanzania,0.73,2.75
2016,Venezuela,0.75,2.5
2021,Colombia,0.7,3.75
2021,Colombia,0.7,3.5
2021,Colombia,0.7,3.25
2021,Colombia,0.7,3.25
2008,Ecuador,0.55,3.5
2008,Ecuador,0.55,3.25
2008,Ecuador,0.55,3.0
2008,Ecuador,0.77,2.75
2008,Ecuador,0.77,2.5
2008,Ecuador,0.77,2.0
2014,Papua New Guinea,0.7,3.75
2014,Papua New Guinea,0.7,3.5
2021,Tanzania,0.7,3.25
2021,Peru,0.7,3.25
2021,Mexico,0.7,3.25
2021,Nicaragua,0.7,3.0
2012,Costa Rica,0.72,3.0
2012,Costa Rica,0.8,2.75
2015,Guatemala,0.72,3.5
2015,Costa Rica,0.72,3.5
2015,Costa Rica,0.72,3.25
2016,Colombia,0.65,3.5
2016,Colombia,0.65,3.5
2016,Colombia,0.65,3.25
2016,Colombia,0.65,3.25
2016,Colombia,0.65,3.0
2018,Blend,0.75,2.0
2019,Brazil,0.65,3.25
2019,Brazil,0.71,3.0
2013,Dominican Republic,0.73,3.5
2013,Venezuela,0.7,3.25
2013,Nicaragua,0.72,3.25
2013,Bolivia,0.7,3.0
2013,Venezuela,0.72,3.0
2013,Peru,0.7,2.75
2013,Peru,0.7,2.5
2014,Colombia,0.72,3.5
2014,Colombia,0.76,3.5
2014,Dominican Republic,0.7,2.75
2015,Dominican Republic,0.7,3.75
2015,Honduras,0.72,3.5
2016,Belize,0.72,4.0
2017,Venezuela,0.7,3.25
2019,Mexico,0.7,3.75
2019,Puerto Rico,0.7,3.5
2021,Peru,0.7,4.0
2021,Venezuela,0.72,4.0
2023,Peru,0.7,4.0
2023,Venezuela,0.72,3.75
2023,Dominican Republic,0.72,3.75
2023,Peru,0.7,3.5
2024,Philippines,0.72,3.25
2022,Cuba,0.72,3.0
2022,Madagascar,0.74,2.75
2022,Trinidad,0.75,2.5
2014,Bolivia,0.7,3.0
2014,Peru,0.7,2.75
2014,Venezuela,0.7,2.75
2014,Ecuador,0.7,2.5
2009,Ecuador,0.72,2.75
2014,Uganda,0.7,2.75
2021,Peru,0.72,3.25
2021,Madagascar,0.7,3.0
2021,Belize,0.7,3.0
2017,Bolivia,0.74,3.0
2018,Venezuela,0.68,3.5
2016,Belize,0.7,3.25
2008,Ecuador,0.75,3.0
2010,Ecuador,0.55,2.75
2014,Costa Rica,0.7,3.5
2018,Peru,0.72,3.0
2019,Ecuador,0.72,3.5
2021,Colombia,0.83,3.25
2021,Dominican Republic,0.69,3.25
2011,Blend,0.7,3.5
2015,Ecuador,0.7,3.25
2014,Belize,0.82,3.25
2014,Belize,0.75,3.0
2015,Malaysia,0.7,3.5
2015,Vietnam,0.7,2.75
2019,Dominican Republic,0.71,3.25
2019,Nicaragua,0.72,2.5
2023,Guatemala,0.8,3.25
2015,Peru,0.65,2.75
2015,Peru,0.65,2.5
2015,Dominican Republic,0.8,2.5
2019,Madagascar,0.74,3.0
2011,Madagascar,0.7,3.75
2011,Venezuela,0.68,3.75
2016,Peru,0.9,2.5
2016,Blend,0.8,2.5
2016,Ecuador,0.7,3.25
2016,Dominican Republic,0.6,3.0
2016,Dominican Republic,0.75,3.0
2016,Venezuela,0.8,3.0
2016,Uganda,0.7,2.75
2016,Nicaragua,0.8,2.75
2016,Bolivia,0.7,2.5
2014,Peru,0.74,2.75
2023,Haiti,0.69,3.0
2023,Dominican Republic,0.75,3.0
2023,Madagascar,0.7,3.0
2015,Peru,0.8,3.75
2015,Congo,0.68,3.5
2015,Dominican Republic,0.75,3.25
2023,Colombia,0.7,3.5
2023,Vietnam,0.7,3.25
2023,Madagascar,0.7,2.5
2023,Colombia,0.7,2.5
2012,Madagascar,0.72,3.25
2012,Peru,0.68,2.75
2012,Ecuador,0.82,2.5
2013,Peru,0.7,3.75
2015,Peru,0.69,3.75
2015,Venezuela,0.8,3.75
2021,Venezuela,0.7,2.75
2018,Dominican Republic,0.72,3.25
2019,India,0.7,3.0
2014,Mexico,0.7,2.5
2018,Guatemala,0.76,2.75
2018,Peru,0.7,2.75
2018,India,0.63,2.5
2015,Venezuela,0.77,3.0
2011,Mexico,0.65,3.25
2016,Mexico,0.75,3.25
2021,Belize,0.7,3.5
2021,Guatemala,0.7,3.25
2021,Dominican Republic,0.73,3.25
2007,Blend,0.7,3.0
2007,Ecuador,0.71,2.5
2007,Grenada,0.71,2.5
2008,Venezuela,0.71,3.5
2009,Blend,0.6,3.25
2009,Blend,0.75,3.25
2010,Madagascar,0.71,3.5
2010,Mexico,0.71,3.25
2015,Mexico,0.65,2.5
2015,Mexico,0.75,2.5
2024,Nicaragua,0.7,3.0
2009,Brazil,0.7,3.0
2009,Brazil,0.8,3.0
2009,Venezuela,0.7,3.0
2009,Mexico,0.7,2.75
2009,Venezuela,0.8,2.5
2020,Madagascar,0.67,4.0
2020,Venezuela,0.75,3.75
2020,Belize,0.7,3.75
2020,Guatemala,0.7,3.5
2021,Bolivia,0.75,3.75
2021,Tanzania,0.75,3.5
2023,Venezuela,0.75,2.5
2013,Martinique,0.42,2.75
2018,Peru,0.7,2.75
2018,Peru,0.75,3.75
2019,Brazil,0.7,4.0
2019,Dominican Republic,0.72,3.75
2019,Ecuador,0.73,3.5
2019,Tanzania,0.72,3.5
2019,Costa Rica,0.7,3.25
2019,Vietnam,0.72,3.0
2023,Madagascar,0.7,3.5
2011,Peru,0.68,3.75
2009,Venezuela,0.61,3.0
2010,Venezuela,0.77,2.75
2008,Blend,0.75,3.75
2008,Blend,0.8,3.0
2008,Blend,1.0,1.0
2010,Blend,0.735,3.75
2021,Dominican Republic,0.7,3.5
2021,Haiti,0.79,3.5
2015,Ecuador,0.73,3.5
2020,Peru,0.7,3.5
2019,St. Lucia,0.7,2.25
2021,Madagascar,0.77,3.25
2021,Colombia,0.7,3.25
2021,Peru,0.68,3.0
2008,Venezuela,0.7,3.75
2008,Bolivia,0.72,3.25
2008,Venezuela,0.8,2.75
2008,Ecuador,0.88,2.75
2010,Venezuela,0.7,3.25
2024,India,0.7,3.5
2024,Tanzania,0.7,3.5
2024,Haiti,0.7,3.5
2024,Belize,0.7,3.5
2024,Grenada,0.7,3.25
2024,Ecuador,0.7,3.25
2024,Ghana,0.7,3.0
2024,Venezuela,0.7,3.0
2015,Ecuador,0.76,3.5
2016,Vietnam,0.78,2.75
2021,Tanzania,0.75,3.5
2021,Peru,0.68,3.25
2021,Philippines,0.7,2.5
2021,Ivory Coast,0.7,2.5
2024,Ghana,0.7,2.75
2007,Madagascar,0.72,3.0
2008,Mexico,0.72,3.0
2008,Venezuela,0.72,3.0
2009,Venezuela,0.7,3.75
2009,Venezuela,0.7,3.5
2009,Peru,0.62,3.25
2009,Peru,0.72,3.0
2010,Grenada,0.72,3.25
2010,Jamaica,0.72,3.25
2010,Venezuela,0.72,3.25
2010,Venezuela,0.7,3.0
2010,Trinidad,0.72,3.0
2010,Ecuador,0.72,2.5
2012,Blend,0.72,3.75
2012,Ghana,0.85,3.5
2012,Madagascar,0.7,3.5
2012,Ecuador,1.0,1.5
2013,Ecuador,0.65,3.25
2017,Ghana,0.75,3.75
2006,Blend,0.7,1.0
2012,Papua New Guinea,0.75,3.5
2012,Tanzania,0.75,3.25
2012,Brazil,0.65,3.25
2012,Fiji,0.67,3.25
2012,Vanuatu,0.64,3.25
2014,Vanuatu,0.83,2.75
2014,Papua New Guinea,0.7,2.5
2016,Ecuador,0.73,3.75
2016,Ecuador,0.85,3.25
2020,Honduras,0.7,3.5
2020,Dominican Republic,0.7,3.25
2020,Colombia,0.7,3.25
2020,Ecuador,0.7,3.25
2021,India,0.7,3.75
2022,Guatemala,0.72,3.5
2022,Nicaragua,0.72,3.5
2022,Honduras,0.72,3.0
2020,Haiti,0.7,3.5
2020,Belize,0.75,3.5
2020,Mexico,0.7,3.5
2020,Guatemala,0.7,3.25
2021,Mexico,0.73,3.75
2011,Australia,0.7,3.25
2015,Australia,0.7,2.75
2017,Dominican Republic,0.72,2.75
2015,Ecuador,0.7,3.5
2015,Trinidad,0.7,3.0
2015,Nicaragua,0.7,2.75
2015,Grenada,0.7,2.25
2018,Blend,0.65,2.5
2021,Peru,0.72,3.5
2021,India,0.72,3.0
2021,Puerto Rico,0.68,2.5
2012,Dominican Republic,0.7,3.75
2012,Colombia,0.7,3.25
2012,Costa Rica,0.7,3.0
2013,Venezuela,0.7,3.5
2013,Papua New Guinea,0.7,3.5
2013,Venezuela,0.7,3.25
2013,Venezuela,0.7,2.75
2014,Dominican Republic,0.7,3.75
2014,Belize,0.7,3.5
2014,Ecuador,0.7,3.5
2014,Liberia,0.7,2.75
2015,Belize,0.7,3.0
2016,Dominican Republic,0.7,3.75
2017,Costa Rica,0.7,3.0
2018,India,0.7,3.5
2018,Honduras,0.7,3.25
2018,Sierra Leone,0.7,3.0
2019,Vietnam,0.7,3.5
2021,Brazil,0.7,4.0
2021,Tanzania,0.7,3.5
2021,Dominican Republic,0.7,3.5
2021,Peru,0.7,3.25
2021,India,0.7,3.25
2021,Guatemala,0.7,2.75
2021,India,0.7,2.75
2011,Dominican Republic,0.7,3.25
2011,Madagascar,0.7,3.25
2011,Tanzania,0.7,3.25
2021,Dominican Republic,0.7,3.0
2009,Guatemala,0.6,3.25
2009,Guatemala,0.75,3.0
2011,Guatemala,0.6,3.5
2012,Guatemala,0.7,4.0
2012,Guatemala,0.7,3.75
2012,Madagascar,0.7,3.75
2012,Guatemala,0.7,3.25
2012,Venezuela,0.75,3.0
2014,Guatemala,0.82,3.25
2016,Blend,0.7,3.25
2016,Vietnam,0.72,3.0
2016,Venezuela,0.72,2.75
2022,Costa Rica,0.72,3.75
2019,Vietnam,0.7,3.25
2019,Peru,0.72,3.0
2015,Venezuela,0.7,3.25
2015,Ecuador,0.7,3.25
2015,Madagascar,0.7,3.0
2015,Tanzania,0.7,3.0
2016,Bolivia,0.75,3.25
2012,Blend,0.58,3.25
2013,Dominican Republic,0.7,2.75
2013,Venezuela,0.7,2.75
2013,Ghana,0.7,2.5
2015,Brazil,0.72,3.5
2015,Brazil,0.65,3.5
2016,Madagascar,0.7,3.0
2016,Uganda,0.7,2.5
2007,Costa Rica,0.64,3.0
2007,Ecuador,0.71,3.0
2007,Ghana,0.6,3.0
2007,Papua New Guinea,0.64,3.0
2007,Peru,0.64,3.0
2007,Madagascar,0.66,2.5
2008,Venezuela,0.66,3.75
2009,Papua New Guinea,0.64,3.0
2024,Ecuador,0.72,4.0
2024,Tanzania,0.72,3.75
2024,Uganda,0.75,3.5
2024,Peru,0.72,3.5
2024,Thailand,0.7,3.25
2018,Dominican Republic,0.8,3.0
2018,Dominican Republic,0.7,2.5
2018,Dominican Republic,0.7,2.5
2016,Tanzania,0.72,2.5
2019,Guatemala,0.72,3.0
2007,Costa Rica,0.77,3.5
2007,Dominican Republic,0.77,3.5
2008,Bolivia,0.8,2.75
2011,Ecuador,0.7,3.25
2011,Dominican Republic,0.74,3.0
2011,Madagascar,0.8,2.75
2011,Venezuela,0.75,2.75
2012,Bolivia,0.75,2.75
2013,Ecuador,0.76,3.5
2013,Ecuador,0.7,3.25
2014,Dominican Republic,0.74,3.5
2015,Bolivia,0.7,3.75
2016,Vietnam,0.78,3.5
2017,Solomon Islands,0.72,4.0
2017,Guatemala,0.7,3.75
2017,Brazil,0.75,3.75
2018,Fiji,0.8,3.75
2019,Belize,0.72,4.0
2019,Madagascar,0.72,3.75
2020,Blend,0.73,3.5
2021,Mexico,0.72,4.0
2021,Jamaica,0.75,3.75
2022,Madagascar,0.63,3.0
2022,Peru,0.65,2.75
2022,Vietnam,0.7,2.75
2022,Bali,0.65,2.5
2019,Sao Tome,0.65,3.0
2019,Sao Tome,0.75,3.0
2019,Sao Tome,0.7,2.75
2019,Sao Tome,0.75,2.5
2024,Colombia,0.75,2.75
